job_name,Order Date,start_datetime,end_datetime,job_id
6AM_CD,30-Jul-21,7-30-2021 6:22,7/30/2021 6:28,1302
1PMCST_General_Ledger_load,30-Jul-21,7/30/2021 13:00,7/30/2021 14:07,1352
6AM_CE_3NF,30-Jul-21,7/30/2021 6:11,7/30/2021 6:22,1280
6AM_GL_3NF,30-Jul-21,7/30/2021 6:22,7/30/2021 6:31,1282
6AM_GL_DM,30-Jul-21,7/30/2021 6:31,7/30/2021 6:44,1303
6AM_GL_STG,30-Jul-21,7/30/2021 6:00,7/30/2021 6:11,1260
1PMCST_General_Ledger_load,19-Aug-21,8/19/2021 14:51,8/19/2021 15:54,1352
6AM_CD,19-Aug-21,8/19/2021 6:23,8/19/2021 6:29,1302
6AM_CE_3NF,19-Aug-21,8/19/2021 6:12,8/19/2021 6:23,1280
6AM_GL_DM,19-Aug-21,8/19/2021 6:32,8/19/2021 6:42,1303
APPO_SRC_TO_STG_LOAD,19-Aug-21,8/19/2021 0:05,8/19/2021 0:19,1247
1PMCST_General_Ledger_load,27-Aug-21,8/27/2021 13:00,8/27/2021 14:04,1352
1PMCST_General_Ledger_load,28-Jul-21,7/28/2021 13:00,7/28/2021 14:10,1352
1PMCST_General_Ledger_load,24-Sep-21,9/24/2021 13:00,9/24/2021 14:04,1352
6AM_CD,15-Sep-21,9/15/2021 6:21,9/15/2021 6:28,1302
6AM_CD,26-Sep-21,9/26/2021 6:22,9/26/2021 6:29,1302
6AM_CD,29-Aug-21,8/29/2021 6:22,8/29/2021 6:28,1302
6AM_CE_3NF,19-Sep-21,9/19/2021 6:12,9/19/2021 6:22,1280
6AM_CE_3NF,25-Jul-21,7/25/2021 6:11,7/25/2021 6:22,1280
6AM_CE_3NF,06-Aug-21,08-06-2021 06:12,08-06-2021 06:23,1280
6AM_CE_3NF,05-Sep-21,09-05-2021 06:12,09-05-2021 06:22,1280
6AM_GL_3NF,24-Aug-21,8/24/2021 6:25,8/24/2021 6:35,1280
6AM_GL_3NF,14-Aug-21,8/14/2021 6:24,8/14/2021 6:34,1280
6AM_GL_3NF,17-Sep-21,9/17/2021 6:22,9/17/2021 6:31,1280
6AM_GL_3NF,07-Oct-21,10-07-2021 06:22,10-07-2021 06:34,1280
6AM_GL_DM,04-Oct-21,10-04-2021 06:33,10-04-2021 06:43,1303
6AM_GL_DM,23-Sep-21,9/23/2021 6:32,9/23/2021 6:42,1303
6AM_GL_DM,21-Sep-21,9/21/2021 6:36,9/21/2021 6:46,1303
6AM_GL_DM,13-Aug-21,8/13/2021 6:36,8/13/2021 6:45,1303
6AM_GL_STG,02-Sep-21,09-02-2021 06:00,09-02-2021 06:12,1260
6AM_GL_STG,29-Sep-21,9/29/2021 6:00,9/29/2021 6:13,1260
6AM_GL_STG,02-Aug-21,08-02-2021 06:00,08-02-2021 06:12,1260
6AM_GL_STG,17-Jul-21,7/17/2021 6:00,7/17/2021 6:12,1260
6AM_HR_STG,10-Sep-21,09-10-2021 06:00,09-10-2021 06:06,1261
6AM_HR_STG,14-Jul-21,7/14/2021 6:00,7/14/2021 6:06,1261
6AM_HR_STG,03-Sep-21,09-03-2021 06:00,09-03-2021 06:06,1261
6AM_HR_STG,12-Jul-21,07-12-2021 06:00,07-12-2021 06:05,1261
APPO_SRC_TO_STG_LOAD,09-Aug-21,08-09-2021 00:05,08-09-2021 00:21,1247
APPO_SRC_TO_STG_LOAD,12-Aug-21,08-12-2021 00:05,08-12-2021 00:20,1247
